"project_key","project_name","scenario","condition_code","condition_label","model","repetition","ncloc","code_smells","complexity","cognitive_complexity","duplicated_lines_density","duplicated_blocks","sqale_index","sqale_rating"
"esc2-ind-claude-r3","esc2-ind-claude-r3","esc2","ind","induced","claude","r3","444","2","38","15","0","0","10","1"
"esc2-ind-claude-r4","esc2-ind-claude-r4","esc2","ind","induced","claude","r4","434","0","62","5","4","2","0","1"
"esc2-ind-claude-r5","esc2-ind-claude-r5","esc2","ind","induced","claude","r5","451","2","34","7","0","0","6","1"
"esc2-ind-gemini-r1","esc2-ind-gemini-r1","esc2","ind","induced","gemini","r1","234","4","36","6","0","0","80","1"
"esc2-ind-gemini-r2","esc2-ind-gemini-r2","esc2","ind","induced","gemini","r2","204","8","19","5","0","0","96","1"
"esc2-ind-gemini-r3","esc2-ind-gemini-r3","esc2","ind","induced","gemini","r3","219","1","35","5","0","0","5","1"
"esc2-ind-gemini-r4","esc2-ind-gemini-r4","esc2","ind","induced","gemini","r4","218","1","34","2","0","0","5","1"
"esc2-ind-gemini-r5","esc2-ind-gemini-r5","esc2","ind","induced","gemini","r5","227","0","34","3","0","0","0","1"
"esc2-ind-gpt-r1","esc2-ind-gpt-r1","esc2","ind","induced","gpt","r1","337","4","40","2","0","0","38","1"
"esc2-ind-gpt-r2","esc2-ind-gpt-r2","esc2","ind","induced","gpt","r2","296","7","33","6","0","0","130","1"
"esc2-ind-gpt-r3","esc2-ind-gpt-r3","esc2","ind","induced","gpt","r3","346","3","40","4","0","0","24","1"
"esc2-ind-gpt-r4","esc2-ind-gpt-r4","esc2","ind","induced","gpt","r4","455","2","55","3","0","0","10","1"
"esc2-ind-gpt-r5","esc2-ind-gpt-r5","esc2","ind","induced","gpt","r5","391","2","44","4","0","0","10","1"
"esc2-ind-grok-r1","esc2-ind-grok-r1","esc2","ind","induced","grok","r1","231","10","32","7","0","0","155","1"
"esc2-ind-grok-r2","esc2-ind-grok-r2","esc2","ind","induced","grok","r2","277","14","35","10","0","0","250","1"
"esc2-ind-grok-r3","esc2-ind-grok-r3","esc2","ind","induced","grok","r3","289","11","25","14","0","0","190","1"
"esc2-ind-grok-r4","esc2-ind-grok-r4","esc2","ind","induced","grok","r4","270","9","35","10","0","0","142","1"
"esc2-ind-grok-r5","esc2-ind-grok-r5","esc2","ind","induced","grok","r5","237","9","33","9","0","0","112","1"
"esc2-neu-claude-r1","esc2-neu-claude-r1","esc2","neu","neutral","claude","r1","502","0","43","13","0","0","0","1"
"esc2-neu-claude-r2","esc2-neu-claude-r2","esc2","neu","neutral","claude","r2","458","3","34","8","0","0","11","1"
"esc2-neu-claude-r3","esc2-neu-claude-r3","esc2","neu","neutral","claude","r3","459","0","32","7","0","0","0","1"
"esc2-neu-claude-r4","esc2-neu-claude-r4","esc2","neu","neutral","claude","r4","515","0","34","5","0","0","0","1"
"esc2-neu-claude-r5","esc2-neu-claude-r5","esc2","neu","neutral","claude","r5","397","2","39","14","0","0","6","1"
"esc2-neu-gemini-r1","esc2-neu-gemini-r1","esc2","neu","neutral","gemini","r1","240","7","32","5","0","0","95","1"
"esc2-neu-gemini-r2","esc2-neu-gemini-r2","esc2","neu","neutral","gemini","r2","248","7","31","3","0","0","61","1"
"esc2-neu-gemini-r3","esc2-neu-gemini-r3","esc2","neu","neutral","gemini","r3","209","8","28","4","0","0","101","1"
"esc2-neu-gemini-r4","esc2-neu-gemini-r4","esc2","neu","neutral","gemini","r4","261","7","20","3","0","0","66","1"
"esc2-neu-gemini-r5","esc2-neu-gemini-r5","esc2","neu","neutral","gemini","r5","211","8","18","3","0","0","86","1"
"esc2-neu-gpt-r1","esc2-neu-gpt-r1","esc2","neu","neutral","gpt","r1","353","17","48","20","0","0","340","1"
"esc2-neu-gpt-r2","esc2-neu-gpt-r2","esc2","neu","neutral","gpt","r2","324","0","38","3","0","0","0","1"
"esc2-neu-gpt-r3","esc2-neu-gpt-r3","esc2","neu","neutral","gpt","r3","368","17","48","20","0","0","340","1"
"esc2-neu-gpt-r4","esc2-neu-gpt-r4","esc2","neu","neutral","gpt","r4","338","13","45","18","0","0","260","1"
"esc2-neu-gpt-r5","esc2-neu-gpt-r5","esc2","neu","neutral","gpt","r5","324","5","37","7","0","0","90","1"
"esc2-neu-grok-r1","esc2-neu-grok-r1","esc2","neu","neutral","grok","r1","322","15","38","16","0","0","270","1"
"esc2-neu-grok-r2","esc2-neu-grok-r2","esc2","neu","neutral","grok","r2","295","14","36","13","0","0","250","1"
"esc2-neu-grok-r3","esc2-neu-grok-r3","esc2","neu","neutral","grok","r3","328","7","39","6","0","0","27","1"
"esc2-neu-grok-r4","esc2-neu-grok-r4","esc2","neu","neutral","grok","r4","273","14","36","13","0","0","250","1"
"esc2-neu-grok-r5","esc2-neu-grok-r5","esc2","neu","neutral","grok","r5","339","9","45","18","0","0","132","1"
